Сегодня,ADV
мать,NOUN
и,CONJ
дочь,NOUN
собрались,VERB
печь,VERB
пироги,NOUN
Для,ADP
первого,ADJ
пирога,NOUN
яблочного,ADJ
начинка,NOUN
уже,ADV
была,VERB
готова,ADJ
Поэтому,ADV
мама,NOUN
начала,VERB
заниматься,VERB
тестом,NOUN
а,CONJ
дочери,NOUN
сказала,VERB
Мой,VERB
продукты,NOUN
только,ADV
в,ADP
этот,APRO
раз,NOUN
не,PART
отжимай,VERB
зелень,NOUN
очень,ADV
тебя,PRON
прошу,VERB
просто,ADV
оставь,VERB
в,ADP
сите,NOUN
чтобы,CONJ
вода,NOUN
стекла,VERB
Дочь,NOUN
недовольно,ADV
фыркнула,VERB
но,CONJ
сделала,VERB
как,CONJ
сказали,VERB
Когда,CONJ
капуста,NOUN
и,CONJ
зелень,NOUN
были,VERB
вымыты,VERB
а,CONJ
после,ADP
и,PART
нарезаны,VERB
дочь,NOUN
спросила,VERB
у,ADP
матери,NOUN
В,ADP
какую,"APRO,ADJ"
миску,NOUN
это,PRON
ссыпать,VERB
И,CONJ
получила,VERB
ответ,NOUN
в,ADP
ту,APRO
большую,ADJ
из,ADP
стекла,NOUN
Пока,CONJ
девушка,NOUN
продолжила,VERB
заниматься,VERB
начинкой,NOUN
для,ADP
капустного,ADJ
пирога,NOUN
мама,NOUN
уже,ADV
поставила,VERB
первый,ADJ
в,ADP
печь,NOUN
Теперь,ADV
она,PRON
ходила,VERB
по,ADP
комнате,NOUN
и,CONJ
что-то,PRON
искала,VERB
Милая,ADJ
ты,PRON
не,PART
видела,VERB
мой,APRO
телефон,NOUN
Я,PRON
хочу,VERB
засечь,VERB
время,NOUN
Нет,PART
мам,NOUN
Давай,PART
сейчас,ADV
я,PRON
поставлю,VERB
таймер,NOUN
а,CONJ
телефон,NOUN
потом,ADV
поищем,VERB
Выставив,VERB
время,NOUN
они,PRON
вернулись,VERB
ко,ADP
второму,ADJ
пирогу,NOUN
В,ADP
этот,APRO
момент,NOUN
пришёл,VERB
домой,ADV
отец,NOUN
Как,ADV
у,ADP
вас,PRON
тут,ADV
вкусно,ADV
пахнет,VERB
Хорошо,ADV
что,CONJ
сегодня,ADV
мне,PRON
дали,VERB
уйти,VERB
пораньше,"ADV,ADJ"
Тем,APRO
временем,NOUN
задребезжал,VERB
таймер,NOUN
Доча,NOUN
посмотри,VERB
если,CONJ
края,NOUN
стали,VERB
золотистыми,ADJ
то,CONJ
можно,"PRED,ADV"
вынимать,VERB
Пусть,PART
ещё,ADV
постоит,VERB
Мы,PRON
почти,ADV
закончили,VERB
капустник,NOUN
будем,VERB
его,PRON
ставить,VERB
вынем,VERB
яблочный,ADJ
Хорошо,ADV
значит,VERB
простой,NOUN
нагретой,ADJ
духовки,NOUN
не,PART
придётся,VERB
устраивать,VERB
Через,ADP
некоторое,APRO
время,NOUN
с,ADP
готовкой,NOUN
было,VERB
покончено,VERB
Семья,NOUN
собралась,VERB
за,ADP
столом,NOUN
и,CONJ
делились,VERB
впечатлениями,NOUN
минувшей,ADJ
рабочей,ADJ
недели,NOUN
Простой,ADJ
пятничный,ADJ
вечер,NOUN
казался,VERB
почти,ADV
праздником,NOUN
настолько,ADV
вкусные,ADJ
пироги,NOUN
получились,VERB